wavelength,626.176,605.811,586.416,569.93,560.987,552.613,546.656,540.699,533.218,526.292,518.534,510.776,502.802,494.29,486.532,478.774,471.016,463.397,456.47,448.712,439.984,431.741,420.589,407.013,388.588,367.253,348.828,339.885,332.897,329.191,325.446,321.675,319.736,317.075,315.127,313.296,311.008,309.623,307.37,305.438,304.22,302.28,300.826,296.462,292.167,288.704,284.049
EFFICIENCY,0.204,0.722,1.743,2.944,4.079,5.358,6.511,7.701,8.963,10.256,11.55,12.799,14.135,15.525,16.865,18.199,19.506,20.676,21.839,22.989,24.187,25.301,26.659,27.883,29.047,29.716,29.256,27.824,26.225,24.677,22.936,21.35,19.683,18.363,17.153,15.724,14.789,13.7,12.307,11.032,9.919,8.666,7.293,5.502,3.789,2.28,0.703
REFLECTIVITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
