energy,1.75E-06,1.77E-06,1.78E-06,1.80E-06,1.82E-06,1.83E-06,1.85E-06,1.87E-06,1.88E-06,1.89E-06,1.91E-06,1.92E-06,1.93E-06,1.94E-06,1.95E-06,1.96E-06,1.98E-06,1.98E-06,2.00E-06,2.01E-06,2.02E-06,2.04E-06,2.05E-06,2.07E-06,2.08E-06,2.09E-06,2.11E-06,2.11E-06,2.13E-06,2.15E-06,2.16E-06,2.18E-06,2.20E-06,2.22E-06,2.25E-06,2.28E-06,2.32E-06,2.35E-06,2.37E-06,2.39E-06,2.41E-06,2.43E-06,2.44E-06,2.46E-06,2.47E-06,2.49E-06,2.50E-06,2.52E-06,2.53E-06,2.55E-06,2.56E-06,2.57E-06,2.59E-06,2.61E-06,2.62E-06,2.65E-06,2.67E-06,2.69E-06,2.72E-06,2.74E-06,2.77E-06,2.80E-06,2.84E-06,2.87E-06,2.92E-06,2.98E-06,3.04E-06,3.11E-06,3.18E-06,3.25E-06,3.32E-06,3.40E-06,3.48E-06,3.57E-06
RINDEX,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
ABSLENGTH,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
SCINTILLATIONCOMPONENT1,0.126974051,0.143090606,0.16675108,0.19144027,0.216129461,0.240818651,0.263450409,0.289682674,0.314886222,0.341118487,0.364264603,0.390188253,0.415186058,0.441418323,0.46147829,0.48805346,0.515485894,0.535545861,0.562121031,0.589553465,0.609613432,0.637491643,0.666192827,0.690367659,0.717114282,0.737174249,0.762377798,0.782437765,0.810315976,0.837816991,0.866621046,0.895082196,0.921828819,0.948061084,0.974293348,0.986295038,0.974293348,0.9490898,0.923886251,0.899197061,0.869021384,0.840354491,0.813813611,0.789124421,0.760937595,0.729973235,0.698597389,0.668764618,0.633273906,0.59932627,0.558691977,0.525773057,0.497295271,0.466450419,0.440801093,0.408499402,0.377295009,0.349451089,0.323115952,0.299661221,0.272194497,0.250420003,0.226930981,0.203270507,0.181153108,0.158178444,0.136918308,0.117715605,0.098855806,0.08136763,0.063879453,0.046734182,0.030960533,0.015186883
SCINTILLATIONYIELD,54000
SCINTILLATIONTIMECONSTANT1,1000
RESOLUTIONSCALE,1
